price  house_size  lot_size  bedrooms  bathrooms 
61500  1250  4700  3  1.5  
72500  1570  5300  3  1.5  
78000  1680  5800  4  1.5  
89000  1830  7100  4  2.5  
86500  1870  6900  4  2.5  
89500  1930  6800  4  2.5  
78500  1750  6500  3  2.5  
95500  2300  7900  4  2.5  
96500  2300  7700  4  3.5  
79500  1950  6400  3  2.5  
63000  1400  4500  3  1.5  
76500  1750  6400  3  2.5  
110000  2400  8300  4  3.5 
107000  2370  7800  5  3.5 
132000  3100  8200  5  3.5  
92500  2100  5900  4  2.5  
102500  2350  7300  4  3.5  
149000  4100  9800  5  3.5  
61000  1400  3900  3  1.5  
74000  1640  5300  3  1.5
